setup,run_id,model,version,condition,position_k,agent,fair_share,g_k,p_rem_k,ppi_k,behaviour
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,10,B,10000.0,0.1,10000.0,1.0,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,1,J,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,2,G,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,3,H,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,4,E,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,5,C,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,6,F,10000.0,1.0,50000.0,5.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,7,I,10000.0,1.0,40000.0,4.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,8,B,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,9,D,10000.0,1.0,20000.0,2.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085635Z_neutral_v3,claude-haiku-4-5-20251001,v3,neutral,10,A,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,1,A,10000.0,2.0,100000.0,10.0,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,2,B,8888.89,2.8125,80000.01,8.000001,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,3,C,6875.0,1.4545,55000.0,5.5,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,4,D,6428.57,1.2444,44999.99,4.499999,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,5,E,6166.67,0.8108,37000.020000000004,3.7000020000000005,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,6,F,6400.0,1.875,32000.0,3.2,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,7,G,5000.0,0.6,20000.0,2.0,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,8,H,5666.67,1.5,17000.010000000002,1.700001,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,9,I,4250.0,0.1176,8500.0,0.85,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094315Z_emotional_v1,claude-haiku-4-5-20251001,v1,emotional,10,J,8000.0,0.25,8000.0,0.8,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,1,C,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,2,J,10000.0,2.0,90000.0,9.0,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,3,G,8750.0,0.5714,70000.0,7.0,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,4,A,9285.71,2.6923,64999.969999999994,6.499997,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,5,F,6666.67,1.8,40000.020000000004,4.000002,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,6,H,5600.0,0.8929,28000.0,2.8,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,7,I,5750.0,0.1739,23000.0,2.3,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,8,E,7333.33,0.6818,21999.989999999998,2.1999989999999996,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,9,D,8500.0,0.9412,17000.0,1.7,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094450Z_emotional_v2,claude-haiku-4-5-20251001,v2,emotional,10,B,9000.0,0.0,9000.0,0.9,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,1,J,10000.0,2.0,100000.0,10.0,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,2,G,8888.89,1.125,80000.01,8.000001,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,3,H,8750.0,1.7143,70000.0,7.0,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,4,E,7857.14,0.6364,54999.98,5.499998000000001,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,5,C,8333.33,1.2,49999.979999999996,4.999998,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,6,F,8000.0,1.875,40000.0,4.0,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,7,I,6250.0,0.4,25000.0,2.5,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,8,B,7500.0,1.3333,22500.0,2.25,greedy
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,9,D,6250.0,0.4,12500.0,1.25,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T094802Z_emotional_v3,claude-haiku-4-5-20251001,v3,emotional,10,A,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,1,A,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,2,B,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,3,C,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,4,D,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,5,E,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,6,F,10000.0,1.0,50000.0,5.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,7,G,10000.0,1.0,40000.0,4.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,8,H,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,9,I,10000.0,1.0,20000.0,2.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T084737Z_neutral_v1,gemini-3-flash-preview,v1,neutral,10,J,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,1,C,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,2,J,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,3,G,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,4,A,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,5,F,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,6,H,10000.0,1.0,50000.0,5.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,7,I,10000.0,1.0,40000.0,4.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,8,E,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,9,D,10000.0,1.0,20000.0,2.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085155Z_neutral_v2,gemini-3-flash-preview,v2,neutral,10,B,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,1,J,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,2,G,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,3,H,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,4,E,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,5,C,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,6,F,10000.0,1.0,50000.0,5.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,7,I,10000.0,1.0,40000.0,4.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,8,B,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,9,D,10000.0,1.0,20000.0,2.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T085308Z_neutral_v3,gemini-3-flash-preview,v3,neutral,10,A,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,1,A,10000.0,3.0,100000.0,10.0,greedy
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,2,B,7777.78,3.2143,70000.02,7.000002,greedy
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,3,C,5625.0,0.0,45000.0,4.5,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,4,D,6428.57,1.1667,44999.99,4.499999,greedy
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,5,E,6250.0,0.8,37500.0,3.75,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,6,F,6500.0,2.3077,32500.0,3.25,greedy
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,7,G,4375.0,1.0,17500.0,1.75,fair
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,8,H,4375.0,1.0,13125.0,1.3125,fair
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,9,I,4375.0,0.0,8750.0,0.875,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T091854Z_emotional_v1,gemini-3-flash-preview,v1,emotional,10,J,8750.0,1.0,8750.0,0.875,fair
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,1,C,10000.0,0.0,100000.0,10.0,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,2,J,11111.11,0.9,99999.99,9.999999,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,3,G,11250.0,0.8889,90000.0,9.0,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,4,A,11428.57,2.625,79999.98999999999,7.999998999999999,greedy
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,5,F,8333.33,1.8,49999.979999999996,4.999998,greedy
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,6,H,7000.0,0.7143,35000.0,3.5,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,7,I,7500.0,0.0,30000.0,3.0,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,8,E,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,9,D,10000.0,1.0,20000.0,2.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T093636Z_emotional_v2,gemini-3-flash-preview,v2,emotional,10,B,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,1,J,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,2,G,10000.0,0.5,90000.0,9.0,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,3,H,10625.0,0.9412,85000.0,8.5,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,4,E,10714.29,0.4667,75000.03,7.5000029999999995,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,5,C,11666.67,0.0,70000.02,7.000002,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,6,F,14000.0,1.0,70000.0,7.0,fair
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,7,I,14000.0,0.0,56000.0,5.6,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,8,B,18666.67,1.3393,56000.009999999995,5.600001,greedy
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,9,D,15500.0,0.3871,31000.0,3.1,empathic
game_only,run_0001_gemini-3-flash-preview_20260318T093936Z_emotional_v3,gemini-3-flash-preview,v3,emotional,10,A,25000.0,1.0,25000.0,2.5,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,1,A,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,2,B,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,3,C,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,4,D,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,5,E,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,6,F,10000.0,1.0,50000.0,5.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,7,G,10000.0,1.0,40000.0,4.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,8,H,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,9,I,10000.0,1.0,20000.0,2.0,fair
game_only,run_0001_gpt-5-mini_20260318T083402Z_neutral_v1,gpt-5-mini,v1,neutral,10,J,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,1,C,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,2,J,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,3,G,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,4,A,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,5,F,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,6,H,10000.0,1.0,50000.0,5.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,7,I,10000.0,1.0,40000.0,4.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,8,E,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,9,D,10000.0,1.0,20000.0,2.0,fair
game_only,run_0001_gpt-5-mini_20260318T084207Z_neutral_v2,gpt-5-mini,v2,neutral,10,B,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,1,J,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,2,G,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,3,H,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,4,E,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,5,C,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,6,F,10000.0,1.0,50000.0,5.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,7,I,10000.0,1.0,40000.0,4.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,8,B,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,9,D,10000.0,1.0,20000.0,2.0,fair
game_only,run_0001_gpt-5-mini_20260318T084447Z_neutral_v3,gpt-5-mini,v3,neutral,10,A,10000.0,1.0,10000.0,1.0,fair
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,1,A,10000.0,3.0,100000.0,10.0,greedy
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,2,B,7777.78,3.2143,70000.02,7.000002,greedy
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,3,C,5625.0,0.0,45000.0,4.5,empathic
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,4,D,6428.57,1.5556,44999.99,4.499999,greedy
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,5,E,5833.33,0.8571,34999.979999999996,3.4999979999999997,empathic
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,6,F,6000.0,2.5,30000.0,3.0,greedy
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,7,G,3750.0,1.0,15000.0,1.5,fair
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,8,H,3750.0,1.0667,11250.0,1.125,greedy
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,9,I,3625.0,0.2759,7250.0,0.725,empathic
game_only,run_0001_gpt-5-mini_20260318T090925Z_emotional_v1,gpt-5-mini,v1,emotional,10,J,6250.0,1.0,6250.0,0.625,fair
game_only,run_0001_gpt-5-mini_20260318T091249Z_emotional_v2,gpt-5-mini,v2,emotional,1,C,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_gpt-5-mini_20260318T091249Z_emotional_v2,gpt-5-mini,v2,emotional,2,J,10000.0,1.5,90000.0,9.0,greedy
game_only,run_0001_gpt-5-mini_20260318T091249Z_emotional_v2,gpt-5-mini,v2,emotional,3,G,9375.0,1.0667,75000.0,7.5,greedy
game_only,run_0001_gpt-5-mini_20260318T091249Z_emotional_v2,gpt-5-mini,v2,emotional,4,A,9285.71,3.2308,64999.969999999994,6.499997,greedy
game_only,run_0001_gpt-5-mini_20260318T091249Z_emotional_v2,gpt-5-mini,v2,emotional,5,F,5833.33,2.5714,34999.979999999996,3.4999979999999997,greedy
game_only,run_0001_gpt-5-mini_20260318T091249Z_emotional_v2,gpt-5-mini,v2,emotional,6,H,4000.0,2.0,20000.0,2.0,greedy
game_only,run_0001_gpt-5-mini_20260318T091249Z_emotional_v2,gpt-5-mini,v2,emotional,7,I,3000.0,0.3333,12000.0,1.2,empathic
game_only,run_0001_gpt-5-mini_20260318T091249Z_emotional_v2,gpt-5-mini,v2,emotional,8,E,3666.67,1.3636,11000.01,1.100001,greedy
